id,Income,Residence Length,Is Married,Is Female,Has College,Buy
0,24000,26,0,1,1,0
1,75000,15,1,1,1,1
2,46000,36,1,1,0,0
3,70000,55,1,0,0,1
4,43000,27,0,1,0,0
5,24000,41,1,1,0,0
6,26000,20,1,1,1,0
7,38000,8,1,1,0,0
8,39000,17,0,1,1,0
9,49000,31,1,0,0,0
10,75000,13,0,1,1,1
11,31000,51,0,1,1,0
12,10000,6,0,0,0,0
13,22000,2,0,0,0,0
14,39000,24,1,0,0,0
15,2000,52,1,0,0,0
16,75000,9,0,0,0,1
17,69000,0,1,1,0,1
18,60000,6,1,1,0,1
19,12000,22,0,1,0,0
20,42000,46,1,1,0,0
21,4000,15,0,1,0,0
22,75000,12,0,0,0,0
23,45000,20,1,1,1,1
24,21000,2,0,1,1,0
25,75000,16,0,1,1,1
26,23000,2,0,0,1,0
27,38000,33,0,0,0,0
28,12000,5,0,1,0,0
29,46000,16,1,1,0,0
30,50000,7,1,1,0,0
31,46000,17,0,0,0,0
32,75000,36,1,0,0,1
33,4000,1,0,1,0,0
34,33000,43,1,1,0,0
35,26000,33,0,0,0,0
36,75000,12,0,0,0,1
37,33000,15,1,1,1,0
38,4000,0,0,1,0,0
39,49000,10,1,0,0,0
40,21000,20,1,1,0,0
41,20000,1,0,0,0,0
42,15000,3,1,0,0,0
43,25000,23,0,0,0,0
44,40000,13,1,0,1,0
45,75000,12,1,1,1,1
46,33000,20,1,1,0,0
47,10000,0,0,0,1,0
48,20000,29,0,1,0,0
49,2000,14,0,1,0,0
50,43000,0,0,0,1,0
51,11000,0,0,1,1,0
52,18000,24,0,0,0,0
53,7000,10,0,1,0,0
54,75000,18,1,1,0,1
55,2000,2,0,1,0,0
56,7000,13,0,1,0,0
57,0,32,0,1,0,0
58,47000,7,1,1,1,1
59,20000,3,0,1,0,0
60,75000,9,1,1,0,1
61,61000,51,1,1,1,1
62,30000,14,0,0,0,0
63,6000,18,0,1,0,0
64,22000,24,0,0,0,0
65,39000,0,0,0,0,0
66,26000,24,0,1,0,0
67,22000,0,0,1,1,0
68,46000,1,0,0,0,0
69,39000,45,1,1,1,0
70,49000,18,0,0,0,0
71,5000,18,1,1,0,0
72,9000,13,0,0,1,0
73,75000,4,0,0,0,0
74,9000,4,0,0,0,0
75,43000,25,0,1,0,0
76,30000,1,1,1,0,0
77,13000,20,0,0,0,0
78,3000,9,0,1,0,0
79,28000,26,0,0,0,0
80,44000,2,0,0,0,0
81,69000,26,1,1,1,1
82,3000,3,0,0,1,0
83,7000,16,0,0,0,0
84,32000,14,1,0,0,0
85,21000,33,0,0,0,0
86,75000,60,1,1,0,1
87,19000,2,0,0,0,0
88,42000,35,0,0,1,0
89,15000,26,0,0,1,0
90,6000,19,0,0,0,0
91,73000,42,0,0,0,1
92,75000,25,1,1,1,1
93,25000,28,0,1,0,0
94,8000,12,0,1,0,0
95,75000,25,1,0,1,1
96,44000,36,1,1,0,0
97,27000,18,1,0,1,0
98,7000,16,0,0,0,0
99,61000,5,1,0,0,0
100,70000,57,1,0,0,0
101,70000,8,1,0,0,1
102,1000,15,0,1,0,0
103,22000,4,0,1,1,0
104,23000,33,0,1,0,0
105,61000,28,1,1,0,1
106,75000,28,0,0,1,0
107,46000,36,0,1,1,0
108,49000,18,0,0,1,0
109,23000,6,0,0,1,0
110,59000,41,1,1,1,1
111,30000,0,0,1,0,0
112,38000,1,1,0,0,0
113,9000,3,0,1,0,0
114,21000,52,1,1,0,0
115,49000,24,0,1,0,0
116,61000,33,1,1,1,0
117,14000,44,0,1,0,0
118,75000,45,1,0,1,1
119,40000,13,1,0,0,0
120,59000,24,1,1,0,1
121,75000,11,1,1,1,1
122,57000,21,1,1,1,1
123,23000,12,1,0,0,0
124,73000,25,1,1,0,1
125,43000,36,0,1,1,0
126,30000,35,0,1,0,0
127,75000,9,0,0,1,1
128,75000,3,0,1,1,1
129,41000,15,1,0,0,0
130,6000,2,0,1,0,0
131,75000,51,0,1,1,1
132,36000,3,1,1,0,0
133,75000,11,1,0,1,1
134,26000,20,0,0,0,0
135,33000,1,0,0,0,0
136,37000,8,0,1,1,0
137,19000,11,0,1,0,0
138,19000,19,0,0,0,0
139,0,2,0,0,1,0
140,50000,30,0,0,1,0
141,48000,22,1,0,0,0
142,75000,14,1,0,0,0
143,2000,2,0,1,0,0
144,10000,8,0,1,0,0
145,49000,18,0,0,0,0
146,26000,3,0,0,1,0
147,6000,0,0,1,0,0
148,32000,24,1,0,0,0
149,49000,21,1,1,0,0
150,33000,27,1,1,1,0
151,61000,1,0,0,1,0
152,6000,18,0,1,0,0
153,10000,20,0,1,0,0
154,2000,0,0,1,0,0
155,61000,17,0,0,0,0
156,31000,10,0,0,0,0
157,13000,15,0,1,0,0
158,6000,15,0,1,0,0
159,15000,8,0,0,0,0
160,3000,16,0,0,0,0
161,15000,33,0,1,0,0
162,27000,18,0,1,1,0
163,2000,26,1,0,1,0
164,31000,18,0,1,1,0
165,0,11,0,0,0,0
166,2000,5,0,0,0,0
167,37000,19,0,0,0,0
168,54000,37,1,0,1,0
169,4000,17,0,1,0,0
170,8000,38,0,1,1,0
171,57000,25,0,0,0,0
172,0,17,0,1,0,0
173,34000,27,1,1,0,0
174,48000,15,0,0,0,0
175,28000,11,0,0,0,0
176,1000,15,0,1,0,0
177,33000,24,0,0,1,0
178,19000,14,1,1,0,0
179,24000,31,0,1,0,0
180,25000,30,0,0,0,0
181,48000,9,0,0,1,0
182,75000,57,0,1,0,1
183,58000,8,1,1,1,1
184,1000,2,0,0,0,0
185,0,14,0,1,0,0
186,67000,23,1,1,0,1
187,7000,4,0,1,1,0
188,7000,16,0,1,0,0
189,75000,5,1,0,1,1
190,53000,17,1,1,0,0
191,9000,13,0,1,0,0
192,44000,7,0,1,0,0
193,75000,3,0,1,0,1
194,36000,37,1,0,0,0
195,3000,63,0,0,1,0
196,27000,58,0,1,0,0
197,8000,16,0,1,0,0
198,52000,21,1,1,0,0
199,34000,27,1,0,0,0
200,10000,14,0,1,0,0
201,32000,12,0,0,0,0
202,16000,0,0,1,0,0
203,21000,3,0,1,1,0
204,49000,0,0,1,1,0
205,75000,1,0,0,0,1
206,27000,2,0,0,1,0
207,9000,3,0,0,0,0
208,9000,5,0,0,0,0
209,49000,25,1,1,0,1
210,48000,5,0,1,0,0
211,61000,22,1,1,0,1
212,15000,20,1,0,0,0
213,31000,16,1,1,1,0
214,31000,15,0,1,0,0
215,9000,21,0,1,0,0
216,10000,18,0,1,0,0
217,12000,8,0,0,1,0
218,11000,13,0,1,0,0
219,12000,23,0,0,0,0
220,14000,8,0,1,0,0
221,7000,10,0,1,0,0
222,23000,4,0,0,1,0
223,28000,33,0,0,0,0
224,10000,1,0,1,0,0
225,38000,56,1,1,0,0
226,67000,9,0,1,0,1
227,38000,2,0,1,1,0
228,7000,5,0,0,0,0
229,18000,8,0,0,0,0
230,50000,34,0,0,0,0
231,23000,1,0,0,0,0
232,6000,21,0,0,0,0
233,75000,46,1,1,1,1
234,41000,2,1,0,0,0
235,48000,23,1,1,0,0
236,54000,36,0,1,0,0
237,41000,16,1,1,0,0
238,30000,3,0,1,0,0
239,75000,43,0,1,0,1
240,27000,4,0,1,0,0
241,45000,27,1,1,0,0
242,2000,19,0,0,0,0
243,20000,53,0,1,0,0
244,4000,15,0,0,0,0
245,74000,22,0,1,0,1
246,2000,27,0,1,1,0
247,49000,1,0,1,0,0
248,75000,1,1,1,1,1
249,15000,9,0,1,0,0
250,34000,23,0,0,0,0
251,75000,46,1,0,1,0
252,49000,27,1,1,0,0
253,49000,27,1,0,0,0
254,54000,17,1,1,1,0
255,35000,25,1,1,1,0
256,75000,18,1,0,0,1
257,75000,17,0,1,1,1
258,10000,4,0,1,0,0
259,75000,5,1,1,1,1
260,13000,34,0,1,0,0
261,60000,2,1,1,1,0
262,4000,16,0,1,0,0
263,75000,4,0,0,0,1
264,46000,7,1,0,1,0
265,75000,17,0,0,1,1
266,17000,23,0,0,0,0
267,69000,21,0,0,1,1
268,10000,15,0,0,0,0
269,75000,2,1,0,1,1
270,5000,7,0,1,0,0
271,36000,23,0,0,0,0
272,40000,29,0,0,1,0
273,44000,10,1,1,0,0
274,19000,3,0,0,1,0
275,27000,3,0,0,1,0
276,2000,15,0,0,0,0
277,25000,5,0,1,0,0
278,21000,8,0,1,0,0
279,14000,1,0,1,1,0
280,1000,8,0,1,0,0
281,34000,9,0,1,0,0
282,2000,17,0,1,0,0
283,25000,25,1,1,0,0
284,74000,20,0,0,0,0
285,19000,5,0,1,0,0
286,32000,16,1,1,0,0
287,18000,32,0,0,0,0
288,9000,1,0,1,0,0
289,38000,43,1,1,0,0
290,75000,24,1,1,1,1
291,1000,14,0,1,0,0
292,23000,16,0,1,0,0
293,1000,16,0,0,0,0
294,7000,5,0,0,0,0
295,10000,22,0,1,0,0
296,75000,7,1,0,1,1
297,2000,16,0,0,0,0
298,75000,26,1,0,1,1
299,39000,10,1,1,0,0
300,70000,18,1,1,1,1
301,65000,24,0,1,0,0
302,35000,1,0,0,1,0
303,75000,49,1,0,1,1
304,49000,0,1,1,1,0
305,44000,24,0,1,0,0
306,18000,3,0,0,0,0
307,48000,43,0,1,0,1
308,4000,15,0,1,0,0
309,2000,7,0,1,0,0
310,75000,42,1,0,1,1
311,39000,23,0,1,0,0
312,75000,11,1,1,1,1
313,26000,25,0,0,0,0
314,75000,6,0,0,1,1
315,22000,25,0,0,0,0
316,7000,28,1,1,0,0
317,68000,30,1,1,0,1
318,45000,14,1,0,0,0
319,64000,10,1,0,1,1
320,23000,1,0,1,0,0
321,75000,43,0,1,1,1
322,4000,37,0,0,0,0
323,18000,38,0,1,0,0
324,23000,13,0,1,0,0
325,25000,17,0,0,1,0
326,75000,20,1,1,0,0
327,34000,12,0,0,0,0
328,60000,18,1,0,0,0
329,49000,11,1,0,0,0
330,68000,34,1,0,0,0
331,41000,2,0,0,1,0
332,69000,39,0,1,1,0
333,39000,27,1,1,1,0
334,24000,9,0,1,1,0
335,6000,16,0,1,0,0
336,9000,8,0,0,0,0
337,9000,28,0,1,0,0
338,55000,37,1,0,1,0
339,28000,36,0,1,0,0
340,25000,30,0,0,0,0
341,39000,36,0,0,1,0
342,48000,7,1,0,1,0
343,28000,11,0,0,0,0
344,6000,15,0,0,0,0
345,51000,7,1,1,0,0
346,8000,7,0,0,0,0
347,19000,7,0,1,0,0
348,48000,6,1,0,0,0
349,39000,15,0,0,1,0
350,30000,14,1,0,1,0
351,66000,8,0,0,1,1
352,49000,42,1,1,1,1
353,22000,15,0,0,0,0
354,49000,43,1,1,0,0
355,2000,3,0,0,1,0
356,75000,36,1,0,0,1
357,10000,3,1,1,0,0
358,24000,4,0,0,1,0
359,23000,23,0,1,0,0
360,48000,21,1,1,0,1
361,3000,10,0,1,0,0
362,4000,0,0,0,0,0
363,2000,7,0,1,0,0
364,9000,14,0,1,0,0
365,37000,26,0,0,0,0
366,19000,15,0,0,0,0
367,1000,6,0,0,0,0
368,36000,23,1,1,0,0
369,54000,26,1,0,0,0
370,28000,1,0,1,0,0
371,47000,24,0,0,0,0
372,42000,58,1,1,0,0
373,8000,0,0,0,0,0
374,19000,8,0,0,0,0
375,50000,5,0,0,1,0
376,10000,8,0,1,0,0
377,70000,26,1,1,0,1
378,27000,19,0,0,0,0
379,30000,0,0,0,1,0
380,18000,24,0,0,0,0
381,75000,23,1,1,0,1
382,55000,11,1,0,0,0
383,10000,14,0,1,0,0
384,30000,38,1,0,1,0
385,20000,30,0,0,0,0
386,26000,28,0,0,1,0
387,7000,16,0,1,0,0
388,75000,3,0,1,1,1
389,60000,15,1,0,0,1
390,12000,21,0,0,0,0
391,63000,24,0,1,0,0
392,49000,29,1,1,0,0
393,8000,3,1,0,0,0
394,23000,2,0,0,1,0
395,72000,24,0,0,0,1
396,47000,27,0,0,0,0
397,48000,11,1,0,0,0
398,33000,26,0,0,1,0
399,75000,29,1,1,0,1
400,7000,13,0,1,0,0
401,11000,21,0,1,1,0
402,50000,16,1,1,0,0
403,8000,7,0,1,0,0
404,42000,29,1,0,0,0
405,69000,30,1,0,1,1
406,21000,10,0,1,0,0
407,12000,19,0,1,0,0
408,75000,22,1,0,1,1
409,24000,16,0,1,0,0
410,70000,16,0,0,0,0
411,42000,3,0,0,1,0
412,7000,4,0,1,0,0
413,75000,33,1,0,1,1
414,7000,16,0,1,0,0
415,75000,6,1,0,1,0
416,4000,20,0,1,0,0
417,75000,21,0,1,1,1
418,40000,11,0,1,0,0
419,75000,36,1,0,1,0
420,34000,6,0,1,0,0
421,67000,29,1,0,1,1
422,50000,24,1,1,0,0
423,8000,29,1,1,0,0
424,26000,2,0,1,1,0
425,50000,3,0,0,1,0
426,42000,19,0,0,0,0
427,11000,10,0,0,0,0
428,23000,2,0,1,1,0
429,16000,20,0,1,1,0
430,4000,17,0,1,0,0
431,34000,36,1,1,0,0
432,75000,23,1,1,0,1
433,75000,19,0,1,0,1
434,75000,10,1,0,1,1
435,15000,4,0,1,0,0
436,59000,0,0,1,1,0
437,69000,34,1,1,1,1
438,40000,19,1,0,0,0
439,17000,23,0,1,0,0
440,53000,12,1,1,1,0
441,38000,2,0,0,1,0
442,22000,15,0,0,0,0
443,75000,22,0,1,0,1
444,12000,7,1,1,0,0
445,75000,15,1,0,1,1
446,60000,36,0,0,0,0
447,55000,3,0,0,1,0
448,75000,36,1,0,1,0
449,41000,32,0,1,1,0
450,4000,0,0,0,0,0
451,55000,32,1,0,1,1
452,8000,10,1,1,0,0
453,75000,7,1,1,0,1
454,39000,0,1,1,0,0
455,24000,3,0,1,0,0
456,22000,45,0,0,0,0
457,40000,6,0,0,0,0
458,62000,14,0,1,1,0
459,1000,17,0,1,0,0
460,38000,26,1,1,0,0
461,19000,19,0,1,0,0
462,15000,20,0,0,0,0
463,4000,12,0,1,0,0
464,11000,4,0,0,0,0
465,30000,9,0,0,1,0
466,15000,41,0,1,0,0
467,33000,3,1,0,1,0
468,45000,4,0,0,1,0
469,36000,6,0,1,0,0
470,11000,58,0,1,0,0
471,1000,15,0,0,0,0
472,35000,15,1,1,0,1
473,13000,3,0,0,0,0
474,35000,0,1,1,1,0
475,29000,3,0,1,0,0
476,49000,45,0,1,1,0
477,18000,8,0,1,0,0
478,39000,4,0,1,0,0
479,35000,9,0,0,0,0
480,67000,56,1,0,1,1
481,9000,1,0,1,0,0
482,10000,9,0,1,0,0
483,2000,9,0,1,0,0
484,25000,12,0,0,0,0
485,21000,3,1,0,0,0
486,37000,28,0,0,1,0
487,42000,54,1,1,1,1
488,75000,6,1,1,1,1
489,12000,4,1,0,1,0
490,20000,2,0,0,0,0
491,0,16,0,1,0,0
492,75000,31,1,1,0,1
493,75000,2,0,0,0,1
494,36000,40,1,0,0,0
495,5000,13,0,1,0,0
496,52000,1,0,1,1,0
497,65000,17,0,0,0,0
498,37000,5,0,0,1,0
499,55000,8,1,1,1,0
500,43000,19,0,0,0,0
501,45000,7,0,1,1,0
502,27000,9,0,1,1,0
503,2000,18,0,0,0,0
504,8000,15,0,0,0,0
505,6000,15,0,0,0,0
506,6000,1,1,1,0,0
507,75000,5,0,0,0,1
508,22000,6,1,1,0,0
509,66000,65,0,0,0,1
510,54000,15,0,0,0,0
511,64000,37,1,0,0,1
512,0,17,0,1,0,0
513,65000,29,0,0,1,0
514,75000,5,0,1,0,1
515,58000,13,1,0,0,1
516,41000,17,1,1,0,0
517,54000,17,0,0,0,0
518,39000,22,1,0,0,0
519,6000,14,0,1,0,0
520,20000,25,1,1,0,0
521,5000,16,0,0,0,0
522,28000,21,1,1,0,0
523,44000,12,1,0,1,0
524,70000,9,1,1,0,1
525,35000,28,1,1,0,1
526,18000,11,0,1,0,0
527,34000,39,0,0,1,0
528,17000,10,0,1,0,0
529,58000,3,0,0,1,0
530,70000,12,1,1,0,0
531,54000,1,0,0,0,0
532,49000,3,0,0,0,0
533,5000,2,0,1,0,0
534,17000,5,0,0,1,0
535,64000,72,1,0,1,1
536,33000,24,1,1,0,0
537,24000,9,0,1,0,0
538,49000,12,0,0,0,0
539,1000,0,0,1,0,0
540,17000,35,0,1,0,0
541,33000,34,1,0,0,0
542,50000,6,1,1,0,0
543,58000,0,0,1,1,0
544,18000,28,0,1,0,0
545,4000,21,0,1,0,0
546,49000,17,1,1,0,1
547,44000,4,0,0,1,0
548,8000,23,0,0,0,0
549,52000,18,0,1,0,0
550,56000,20,0,1,0,0
551,25000,16,0,0,0,0
552,30000,32,1,1,0,0
553,60000,23,0,1,0,0
554,35000,25,0,1,0,0
555,75000,38,1,0,1,1
556,49000,20,1,1,0,0
557,8000,2,0,1,0,0
558,15000,33,0,1,1,0
559,19000,34,0,1,0,0
560,7000,7,0,0,0,0
561,61000,15,1,1,0,1
562,75000,23,1,1,0,1
563,75000,34,1,1,0,1
564,59000,25,0,1,0,1
565,12000,7,1,1,1,0
566,0,19,0,1,0,0
567,26000,52,0,1,0,0
568,26000,17,0,0,0,0
569,0,18,0,1,0,0
570,69000,3,1,1,0,1
571,65000,1,1,1,1,1
572,7000,8,0,0,0,0
573,62000,20,1,1,1,0
574,57000,18,1,0,0,0
575,5000,1,0,1,0,0
576,56000,43,1,1,1,0
577,67000,10,0,1,0,0
578,27000,19,0,0,0,0
579,40000,1,0,0,0,0
580,46000,12,0,1,0,0
581,44000,48,0,0,1,0
582,17000,1,1,1,0,0
583,70000,0,0,1,1,0
584,22000,13,0,1,0,0
585,39000,10,0,0,1,0
586,8000,16,0,0,0,0
587,30000,14,1,1,1,0
588,23000,19,0,0,0,0
589,32000,40,0,1,0,0
590,75000,19,0,1,0,1
591,13000,19,1,0,0,0
592,17000,18,0,0,0,0
593,13000,12,1,1,0,0
594,69000,13,0,1,0,1
595,14000,22,0,0,0,0
596,75000,17,1,1,1,1
597,23000,17,0,1,1,0
598,46000,68,1,1,1,0
599,2000,12,0,1,0,0
600,37000,15,1,1,0,0
601,14000,28,1,1,0,0
602,8000,14,0,0,0,0
603,27000,4,0,0,0,0
604,5000,32,1,0,0,0
605,6000,17,0,1,0,0
606,44000,0,0,1,1,0
607,14000,19,0,0,0,0
608,49000,20,0,1,0,0
609,75000,23,0,1,1,1
610,7000,14,0,0,0,0
611,61000,42,1,0,1,0
612,42000,57,1,0,0,0
613,30000,19,1,1,0,0
614,59000,35,1,1,0,1
615,38000,3,0,0,1,0
616,13000,23,0,0,0,0
617,31000,25,0,0,0,0
618,24000,23,1,0,1,0
619,34000,18,0,0,1,0
620,45000,15,0,1,0,0
621,3000,14,0,0,0,0
622,41000,16,0,1,0,0
623,33000,4,0,1,0,0
624,75000,13,1,0,1,1
625,5000,7,0,0,0,0
626,20000,18,0,0,0,0
627,23000,27,1,1,0,0
628,24000,5,0,0,0,0
629,30000,13,1,0,0,0
630,18000,4,1,1,0,0
631,19000,28,0,0,0,0
632,27000,18,0,1,0,0
633,10000,7,0,0,1,0
634,46000,3,0,0,1,0
635,27000,8,0,1,0,0
636,29000,19,1,0,0,0
637,35000,25,1,1,0,0
638,75000,24,1,1,0,1
639,37000,11,0,1,1,0
640,28000,14,0,1,0,0
641,67000,23,0,1,0,1
642,75000,25,1,0,1,1
643,8000,20,0,1,0,0
644,73000,22,1,0,0,1
645,22000,41,0,1,0,0
646,24000,2,0,0,0,0
647,28000,10,0,1,1,0
648,75000,5,0,1,0,1
649,14000,10,0,0,1,0
650,47000,10,0,0,0,0
651,8000,19,0,1,0,0
652,15000,9,0,0,0,0
653,10000,23,0,1,0,0
654,75000,8,1,0,0,1
655,72000,54,0,0,1,0
656,33000,14,0,0,0,0
657,58000,9,1,0,1,0
658,49000,15,1,1,0,1
659,27000,28,1,1,0,0
660,4000,20,0,1,0,0
661,40000,12,0,1,1,0
662,75000,3,1,1,1,0
663,27000,12,0,1,0,0
664,22000,8,0,0,0,0
665,8000,18,1,1,0,0
666,75000,7,1,1,1,1
667,21000,20,1,0,0,0
668,27000,6,0,1,0,0
669,3000,11,0,1,0,0
670,75000,52,1,1,0,1
671,51000,10,1,1,0,1
672,11000,11,1,0,0,0
